DATAFLOW,LAST UPDATE,freq,unit,lev_satis,isced11,indic_wb,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,ACCSAT,F,Y_GE16,BE,2013,7.0,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,ACCSAT,M,Y_GE16,BE,2013,7.7,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,ACCSAT,T,Y_GE16,BE,2013,7.3,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,COMSAT,F,Y_GE16,BE,2013,12.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,COMSAT,M,Y_GE16,BE,2013,16.6,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,COMSAT,T,Y_GE16,BE,2013,14.6,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,FINSAT,F,Y_GE16,BE,2013,19.8,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,FINSAT,M,Y_GE16,BE,2013,19.1,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,FINSAT,T,Y_GE16,BE,2013,19.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,GREENSAT,F,Y_GE16,BE,2013,14.6,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,GREENSAT,M,Y_GE16,BE,2013,14.9,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,GREENSAT,T,Y_GE16,BE,2013,14.7,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,JOBSAT,F,Y_GE16,BE,2013,8.6,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,JOBSAT,M,Y_GE16,BE,2013,8.4,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,JOBSAT,T,Y_GE16,BE,2013,8.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,LIFESAT,F,Y_GE16,BE,2013,9.7,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,LIFESAT,M,Y_GE16,BE,2013,8.7,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,LIFESAT,T,Y_GE16,BE,2013,9.2,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,LIVENVSAT,F,Y_GE16,BE,2013,7.7,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,LIVENVSAT,M,Y_GE16,BE,2013,7.4,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,LIVENVSAT,T,Y_GE16,BE,2013,7.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,MEANLIFE,F,Y_GE16,BE,2013,10.2,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,MEANLIFE,M,Y_GE16,BE,2013,9.9,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,MEANLIFE,T,Y_GE16,BE,2013,10.1,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,RELSAT,F,Y_GE16,BE,2013,9.2,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,RELSAT,M,Y_GE16,BE,2013,8.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,RELSAT,T,Y_GE16,BE,2013,8.8,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,TIMESAT,F,Y_GE16,BE,2013,19.2,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,TIMESAT,M,Y_GE16,BE,2013,16.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,LOW,TOTAL,TIMESAT,T,Y_GE16,BE,2013,17.9,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,ACCSAT,F,Y_GE16,BE,2013,61.4,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,ACCSAT,M,Y_GE16,BE,2013,61.1,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,ACCSAT,T,Y_GE16,BE,2013,61.3,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,COMSAT,F,Y_GE16,BE,2013,45.7,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,COMSAT,M,Y_GE16,BE,2013,47.2,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,COMSAT,T,Y_GE16,BE,2013,46.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,FINSAT,F,Y_GE16,BE,2013,64.8,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,FINSAT,M,Y_GE16,BE,2013,64.2,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,FINSAT,T,Y_GE16,BE,2013,64.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,GREENSAT,F,Y_GE16,BE,2013,62.2,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,GREENSAT,M,Y_GE16,BE,2013,62.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,GREENSAT,T,Y_GE16,BE,2013,62.3,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,JOBSAT,F,Y_GE16,BE,2013,68.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,JOBSAT,M,Y_GE16,BE,2013,68.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,JOBSAT,T,Y_GE16,BE,2013,68.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,LIFESAT,F,Y_GE16,BE,2013,69.8,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,LIFESAT,M,Y_GE16,BE,2013,70.0,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,LIFESAT,T,Y_GE16,BE,2013,69.9,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,LIVENVSAT,F,Y_GE16,BE,2013,69.4,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,LIVENVSAT,M,Y_GE16,BE,2013,71.2,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,LIVENVSAT,T,Y_GE16,BE,2013,70.3,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,MEANLIFE,F,Y_GE16,BE,2013,59.0,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,MEANLIFE,M,Y_GE16,BE,2013,59.6,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,MEANLIFE,T,Y_GE16,BE,2013,59.3,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,RELSAT,F,Y_GE16,BE,2013,62.0,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,RELSAT,M,Y_GE16,BE,2013,63.1,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,RELSAT,T,Y_GE16,BE,2013,62.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,TIMESAT,F,Y_GE16,BE,2013,61.1,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,TIMESAT,M,Y_GE16,BE,2013,60.1,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,MED,TOTAL,TIMESAT,T,Y_GE16,BE,2013,60.6,
