DATAFLOW,LAST UPDATE,freq,nace_r2,isco08,worktime,age,sex,indic_se,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Denmark,2006,3427,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Denmark,2010,4222,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Denmark,2014,4655,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Denmark,2018,5121,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Estonia,2002,336,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Estonia,2006,504,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Estonia,2010,645,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Estonia,2014,885,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Estonia,2018,1125,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Greece,2002,,c
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Greece,2006,1304,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Greece,2010,1619,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Greece,2014,1397,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Greece,2018,1236,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Spain,2002,1259,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Spain,2006,1464,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Spain,2010,1748,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Spain,2014,1913,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Spain,2018,1979,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,European Union - 27 countries (from 2020),2010,1576.43,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,European Union - 27 countries (from 2020),2014,1781.81,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,European Union - 27 countries (from 2020),2018,1985,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,European Union - 28 countries (2013-2020),2002,1344,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,European Union - 28 countries (2013-2020),2006,1450,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,European Union - 28 countries (2013-2020),2010,1636,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,European Union - 28 countries (2013-2020),2014,1873,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Finland,2002,2064,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Finland,2006,2436,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Finland,2010,2874,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Finland,2014,3250,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Finland,2018,3437,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,France,2002,1880,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,France,2006,2204,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,France,2010,2361,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,France,2014,2627,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,France,2018,2781,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Croatia,2010,807,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Croatia,2014,831,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Croatia,2018,957,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Hungary,2002,396,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Hungary,2006,524,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Hungary,2010,628,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Hungary,2014,678,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Hungary,2018,874,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Ireland,2002,2205,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Ireland,2006,2762,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Ireland,2010,3057,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Ireland,2014,3494,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Ireland,2018,3730,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Iceland,2002,2099,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Iceland,2006,2861,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Iceland,2010,2041,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Iceland,2014,2924,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Iceland,2018,4632,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Italy,2002,1522,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Italy,2006,1722,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Italy,2010,1976,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Italy,2014,2231,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Italy,2018,2388,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Lithuania,2002,296,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Lithuania,2006,398,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Lithuania,2010,473,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Lithuania,2014,622,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Lithuania,2018,859,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Luxembourg,2002,2270,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Luxembourg,2006,2602,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Luxembourg,2010,3000,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Luxembourg,2014,3168,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Luxembourg,2018,3606,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Latvia,2002,273,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Latvia,2006,390,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Latvia,2010,549,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Latvia,2014,705,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Latvia,2018,971,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,North Macedonia,2010,354,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,North Macedonia,2014,413,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,North Macedonia,2018,447,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Malta,2002,1061,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Malta,2006,1083,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Malta,2010,1384,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Malta,2014,1404,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Malta,2018,1671,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Netherlands,2002,2168,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Netherlands,2006,2249,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Netherlands,2010,2615,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Netherlands,2014,2866.1,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Netherlands,2018,3223,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Norway,2002,3377,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Norway,2006,3819,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Norway,2010,4806,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Norway,2014,5493,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Norway,2018,5553,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Poland,2002,481,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Poland,2006,552,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Poland,2010,673,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Poland,2014,820,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Poland,2018,952,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Portugal,2002,596,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Portugal,2006,693,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Portugal,2010,804,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Portugal,2014,824,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Portugal,2018,976,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Romania,2002,150,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Romania,2006,250,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Romania,2010,371,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Romania,2014,437,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Romania,2018,727,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Sweden,2002,2339,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Sweden,2006,2722,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Sweden,2010,3153,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Sweden,2014,3761,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Sweden,2018,3729,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Slovenia,2002,764,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Slovenia,2006,930,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Slovenia,2010,1216,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Slovenia,2014,1393,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Slovenia,2018,1518,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Slovakia,2002,272,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Slovakia,2006,425,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Slovakia,2010,634,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Slovakia,2014,771,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Slovakia,2018,993,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Turkey,2006,478,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Turkey,2010,593,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Turkey,2014,604,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Turkey,2018,548,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,United Kingdom,2002,2523,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,United Kingdom,2006,2765,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,United Kingdom,2010,2423,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,United Kingdom,2014,2891,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,United Kingdom,2018,3009,
